iter	Passed	Remaining
851	1726	299
852	1728	297
853	1730	295
854	1732	293
855	1734	291
856	1736	289
857	1738	287
858	1740	285
859	1743	283
860	1746	281
861	1748	279
862	1750	277
863	1752	275
864	1754	273
865	1756	271
866	1758	269
867	1761	267
868	1763	265
869	1765	263
870	1767	261
871	1769	259
872	1771	257
873	1773	255
874	1776	253
875	1779	251
876	1782	250
877	1784	248
878	1787	246
879	1791	244
880	1794	242
881	1796	240
882	1798	238
883	1800	236
884	1802	234
885	1804	232
886	1807	230
887	1809	228
888	1811	226
889	1813	224
890	1815	222
891	1817	220
892	1819	218
893	1821	216
894	1823	213
895	1825	211
896	1827	209
897	1829	207
898	1831	205
899	1833	203
900	1835	201
901	1838	199
902	1840	197
903	1842	195
904	1844	193
905	1846	191
906	1848	189
907	1850	187
908	1852	185
909	1854	183
910	1856	181
911	1858	179
912	1860	177
913	1862	175
914	1864	173
915	1867	171
916	1869	169
917	1871	167
918	1874	165
919	1876	163
920	1877	161
921	1879	159
922	1882	157
923	1885	155
924	1887	153
925	1889	150
926	1891	148
927	1893	146
928	1895	144
929	1897	142
930	1899	140
931	1901	138
932	1903	136
933	1905	134
934	1907	132
935	1909	130
936	1911	128
937	1913	126
938	1915	124
939	1918	122
940	1919	120
941	1921	118
942	1923	116
943	1926	114
944	1928	112
945	1931	110
946	1933	108
947	1935	106
948	1938	104
949	1940	102
950	1943	100
951	1945	98
952	1948	96
953	1950	94
954	1952	92
955	1955	89
956	1957	87
957	1959	85
958	1961	83
959	1963	81
960	1965	79
961	1968	77
962	1970	75
963	1972	73
964	1974	71
965	1976	69
966	1980	67
967	1982	65
968	1984	63
969	1987	61
970	1989	59
971	1991	57
972	1993	55
973	1996	53
974	1998	51
975	2002	49
976	2004	47
977	2007	45
978	2009	43
979	2012	41
980	2014	39
981	2017	36
982	2019	34
983	2021	32
984	2023	30
985	2026	28
986	2028	26
987	2031	24
988	2033	22
989	2035	20
990	2037	18
991	2040	16
992	2042	14
993	2044	12
994	2046	10
995	2048	8
996	2050	6
997	2052	4
998	2054	2
999	2056	0
